left_row,right_row,jaccard,decision,left_title,right_title
32,182,0.642,REJECT_BELOW_THRESHOLD,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,1423,0.619,REJECT_BELOW_THRESHOLD,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,1804,0.736,NEAR_DUP_KEEP,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,1894,0.757,NEAR_DUP_KEEP,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,2071,0.618,REJECT_BELOW_THRESHOLD,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,2363,0.809,NEAR_DUP_KEEP,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,2501,0.757,NEAR_DUP_KEEP,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,2535,0.662,REJECT_BELOW_THRESHOLD,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,2585,0.619,REJECT_BELOW_THRESHOLD,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,2605,0.718,NEAR_DUP_KEEP,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,2867,0.75,NEAR_DUP_KEEP,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,2890,0.685,REJECT_BELOW_THRESHOLD,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,2962,0.718,NEAR_DUP_KEEP,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,3004,0.781,NEAR_DUP_KEEP,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,3083,0.754,NEAR_DUP_KEEP,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,3166,0.593,REJECT_BELOW_THRESHOLD,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,3323,0.669,REJECT_BELOW_THRESHOLD,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
32,3374,0.701,NEAR_DUP_KEEP,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
43,1777,0.964,REDUNDANT,Samsung Showcases Groundbreaking Logic Innovations at System LSI Tech ,Samsung Showcases Groundbreaking Logic Innovations at System LSI Tech 
104,186,0.694,REJECT_BELOW_THRESHOLD,G Suite Technology Services Market Research Report 2023-2030 | 117 Pag,Technology Research Services Market Analysis Report 2023-2030 | 104 Pa
152,365,0.631,REJECT_BELOW_THRESHOLD,Fidelity National Information Services Inc. declares $0.52 dividend,Information Services Corporation Non-GAAP EPS of C$0.51 revenue of C$5
182,1423,0.667,REJECT_BELOW_THRESHOLD,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
182,1865,0.662,REJECT_BELOW_THRESHOLD,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
182,1894,0.634,REJECT_BELOW_THRESHOLD,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
182,2363,0.647,REJECT_BELOW_THRESHOLD,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
182,2496,0.705,NEAR_DUP_KEEP,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
182,2501,0.634,REJECT_BELOW_THRESHOLD,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk
